Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
SRRK,SCHOLAR ROCK HOLDING CORP,Health Care,Equity,93004228.98,0.13,93004228.98,2091863,44.46,United States,NASDAQ,USD,1,USD,-
TDS,TELEPHONE AND DATA SYSTEMS INC,Communication,Equity,92833444.6,0.13,92833444.6,2664565,34.84,United States,New York Stock Exchange Inc.,USD,1,USD,-
EBC,EASTERN BANKSHARES INC,Financials,Equity,92628106.4,0.13,92628106.4,5372860,17.24,United States,NASDAQ,USD,1,USD,-
CNK,CINEMARK HOLDINGS INC,Communication,Equity,92582127.75,0.13,92582127.75,2991345,30.95,United States,New York Stock Exchange Inc.,USD,1,USD,-
LANC,LANCASTER COLONY CORP,Consumer Staples,Equity,92447824.2,0.13,92447824.2,525660,175.87,United States,NASDAQ,USD,1,USD,-
ACLX,ARCELLX INC,Health Care,Equity,92412334.44,0.13,92412334.44,1168593,79.08,United States,NASDAQ,USD,1,USD,-
ATGE,ADTALEM GLOBAL EDUCATION INC,Consumer Discretionary,Equity,92371354.14,0.13,92371354.14,1016522,90.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
DORM,DORMAN PRODUCTS INC,Consumer Discretionary,Equity,92262407.07,0.13,92262407.07,697953,132.19,United States,NASDAQ,USD,1,USD,-
RELY,REMITLY GLOBAL INC,Financials,Equity,92252926.8,0.13,92252926.8,4046181,22.8,United States,NASDAQ,USD,1,USD,-
GMS,GMS INC,Industrials,Equity,92119696.2,0.13,92119696.2,1085805,84.84,United States,New York Stock Exchange Inc.,USD,1,USD,-
PI,IMPINJ INC,Information Technology,Equity,91652954.25,0.13,91652954.25,619905,147.85,United States,NASDAQ,USD,1,USD,-
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Communication,Equity,90386411.85,0.12,90386411.85,1192905,75.77,United States,NASDAQ,USD,1,USD,-
RNA,AVIDITY BIOSCIENCES INC,Health Care,Equity,90332649.68,0.12,90332649.68,3000088,30.11,United States,NASDAQ,USD,1,USD,-
TPH,TRI POINTE HOMES INC,Consumer Discretionary,Equity,90031029,0.12,90031029,2487045,36.2,United States,New York Stock Exchange Inc.,USD,1,USD,-
RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials,Equity,89730758.34,0.12,89730758.34,1642518,54.63,United States,NASDAQ,USD,1,USD,-
VSCO,VICTORIA S SECRET,Consumer Discretionary,Equity,89674325.42,0.12,89674325.42,2121967,42.26,United States,New York Stock Exchange Inc.,USD,1,USD,-
