,시간,종목,bb1돌파1,bb1돌파2,bb1아래,bb2아래,bb2돌파1,bb1터치,bb2돌파2,RSI다이버,정배열,SMA돌파,종가밑SMA,매수의견,매수근거,매수강도,price,손절가,손절근거,추적손절가,거래대금,손절가터치,저항선터치,손절가후보,손절가후보근거,무저항매도,매도의견,매도근거,보유의견
2638,2024-06-06 14:43:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,105.09,103.63,SMA_5,104.88,354551.4,False,True,103.52,bb2_upper,False,True,|TakeProfit|,False
2639,2024-06-06 14:43:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,842.56,817.02,SMA_5,840.87,862428.19,False,False,0.0,,False,False,,False
2640,2024-06-06 14:44:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,842.8,818.66,SMA_5,841.12,862428.19,False,True,823.58,bb2_upper,False,True,|TakeProfit|,False
2641,2024-06-06 14:44:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,105.08,103.43,SMA_5,104.87,354551.4,False,False,0.0,,False,False,,False
2642,2024-06-06 14:44:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.85,174.1,SMA_5,179.49,120372.48,False,False,0.0,,False,False,,False
2643,2024-06-06 14:45:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.91,174.45,SMA_5,179.55,120372.48,False,True,174.96,bb2_upper,False,True,|TakeProfit|,False
2644,2024-06-06 14:45:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,104.96,103.63,SMA_5,104.87,354551.4,False,True,103.52,bb2_upper,False,True,|TakeProfit|,False
2645,2024-06-06 14:45:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,843.59,817.02,SMA_5,841.9,862428.19,False,False,0.0,,False,False,,False
2646,2024-06-06 14:46:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,842.41,818.66,SMA_5,841.9,862428.19,False,True,823.58,bb2_upper,False,True,|TakeProfit|,False
2647,2024-06-06 14:46:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,104.91,103.43,SMA_5,104.7,354551.4,False,False,0.0,,False,False,,False
2648,2024-06-06 14:46:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.93,174.1,SMA_5,179.57,120372.48,False,False,0.0,,False,False,,False
2649,2024-06-06 14:47:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.81,174.45,SMA_5,179.57,120372.48,False,True,174.96,bb2_upper,False,True,|TakeProfit|,False
2650,2024-06-06 14:47:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,104.91,103.63,SMA_5,104.7,354551.4,False,True,103.52,bb2_upper,False,True,|TakeProfit|,False
2651,2024-06-06 14:47:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,842.5,817.02,SMA_5,840.82,862428.19,False,False,0.0,,False,False,,False
2652,2024-06-06 14:48:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,841.43,818.66,SMA_5,840.82,862428.19,False,True,823.58,bb2_upper,False,True,|TakeProfit|,False
2653,2024-06-06 14:48:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,104.92,103.43,SMA_5,104.72,354551.4,False,False,0.0,,False,False,,False
2654,2024-06-06 14:48:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.78,174.1,SMA_5,179.42,120372.48,False,False,0.0,,False,False,,False
2655,2024-06-06 14:49:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.81,174.45,SMA_5,179.45,120372.48,False,True,174.96,bb2_upper,False,True,|TakeProfit|,False
2656,2024-06-06 14:49:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,104.95,103.63,SMA_5,104.74,354551.4,False,True,103.52,bb2_upper,False,True,|TakeProfit|,False
2657,2024-06-06 14:49:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,840.78,817.02,SMA_5,839.1,862428.19,False,False,0.0,,False,False,,False
2658,2024-06-06 14:50:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,839.75,818.66,SMA_5,839.1,862428.19,False,True,823.58,bb2_upper,False,True,|TakeProfit|,False
2659,2024-06-06 14:50:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,104.92,103.43,SMA_5,104.72,354551.4,False,False,0.0,,False,False,,False
2660,2024-06-06 14:50:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.75,174.1,SMA_5,179.39,120372.48,False,False,0.0,,False,False,,False
2661,2024-06-06 14:51:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.84,174.45,SMA_5,179.48,120372.48,False,True,174.96,bb2_upper,False,True,|TakeProfit|,False
2662,2024-06-06 14:51:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,104.93,103.63,SMA_5,104.72,354551.4,False,True,103.52,bb2_upper,False,True,|TakeProfit|,False
2663,2024-06-06 14:51:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,839.09,817.02,SMA_5,837.41,862428.19,False,False,0.0,,False,False,,False
2664,2024-06-06 14:52:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,838.77,818.66,SMA_5,837.41,862428.19,False,True,823.58,bb2_upper,False,True,|TakeProfit|,False
2665,2024-06-06 14:52:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,104.95,103.43,SMA_5,104.75,354551.4,False,False,0.0,,False,False,,False
2666,2024-06-06 14:52:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.49,174.1,SMA_5,179.13,120372.48,False,False,0.0,,False,False,,False
2667,2024-06-06 14:53:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.58,174.45,SMA_5,179.22,120372.48,False,True,174.96,bb2_upper,False,True,|TakeProfit|,False
2668,2024-06-06 14:53:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,104.94,103.63,SMA_5,104.75,354551.4,False,True,103.52,bb2_upper,False,True,|TakeProfit|,False
2669,2024-06-06 14:53:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,838.54,817.02,SMA_5,836.86,862428.19,False,False,0.0,,False,False,,False
2670,2024-06-06 14:54:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,838.11,818.66,SMA_5,836.86,862428.19,False,True,823.58,bb2_upper,False,True,|TakeProfit|,False
2671,2024-06-06 14:54:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,105.03,103.43,SMA_5,104.82,354551.4,False,False,0.0,,False,False,,False
2672,2024-06-06 14:54:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.53,174.1,SMA_5,179.17,120372.48,False,False,0.0,,False,False,,False
2673,2024-06-06 14:55:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,179.65,174.45,SMA_5,179.29,120372.48,False,True,174.96,bb2_upper,False,True,|TakeProfit|,False
2674,2024-06-06 14:55:00+00:00,WELL,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,105.0,103.63,SMA_5,104.82,354551.4,False,True,103.52,bb2_upper,False,True,|TakeProfit|,False
2675,2024-06-06 14:55:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,839.13,817.02,SMA_5,837.45,862428.19,False,False,0.0,,False,False,,False
