시간, 매매, 종목, 수량, 현재가, 평균가, 현금변화, 이익
2024-10-01 09:31:00-04:00, BUY, SPY, 8, 572.54, 572.54, -4580.32, 0.0
2024-10-01 09:31:00-04:00, BUY, META, 8, 581.38, 581.38, -4651.01, 0.0
2024-10-01 09:32:00-04:00, SELL, META, 8, 581.14, 581.38, 4649.12, -1.89
2024-10-01 09:32:00-04:00, SELL, SPY, 8, 571.68, 572.54, 4573.44, -6.88
2024-10-01 09:32:00-04:00, BUY, TSLL, 362, 13.79, 13.79, -4991.98, 0.0
2024-10-01 09:32:00-04:00, BUY, APO, 39, 127.42, 127.42, -4969.38, 0.0
2024-10-01 09:33:00-04:00, SELL, TSLL, 362, 13.77, 13.79, 4983.29, -8.69
2024-10-01 09:33:00-04:00, BUY, SPY, 8, 571.22, 571.22, -4569.76, 0.0
2024-10-01 09:33:00-04:00, BUY, META, 8, 581.27, 581.27, -4650.16, 0.0
2024-10-01 09:34:00-04:00, SELL, SPY, 8, 571.06, 571.22, 4568.48, -1.28
2024-10-01 09:34:00-04:00, SELL, META, 8, 580.01, 581.27, 4640.08, -10.08
2024-10-01 09:34:00-04:00, BUY, TSLL, 361, 13.81, 13.81, -4985.41, 0.0
2024-10-01 09:34:00-04:00, BUY, APO, 39, 127.35, 127.42, -4966.65, 0.0
2024-10-01 09:35:00-04:00, BUY, META, 8, 580.77, 580.77, -4646.16, 0.0
2024-10-01 09:35:00-04:00, BUY, TSLL, 362, 13.79, 13.81, -4991.98, 0.0
2024-10-01 09:36:00-04:00, SELL, META, 8, 579.88, 580.77, 4639.08, -7.08
2024-10-01 09:36:00-04:00, BUY, TSLL, 361, 13.82, 13.8, -4988.91, 0.0
2024-10-01 09:36:00-04:00, BUY, WMT, 61, 80.77, 80.77, -4926.97, 0.0
2024-10-01 09:37:00-04:00, SELL, WMT, 61, 80.78, 80.77, 4927.58, 0.61
2024-10-01 09:37:00-04:00, SELL, TSLL, 1084, 13.71, 13.81, 14862.18, -104.12
2024-10-01 09:37:00-04:00, BUY, APO, 39, 127.73, 127.38, -4981.47, 0.0
2024-10-01 09:37:00-04:00, BUY, BMY, 96, 51.84, 51.84, -4976.64, 0.0
2024-10-01 09:38:00-04:00, SELL, BMY, 96, 51.82, 51.84, 4974.72, -1.92
2024-10-01 09:38:00-04:00, BUY, META, 8, 576.69, 576.69, -4613.54, 0.0
2024-10-01 09:38:00-04:00, BUY, LMT, 8, 587.0, 587.0, -4696.0, 0.0
2024-10-01 09:39:00-04:00, SELL, LMT, 8, 594.61, 587.0, 4756.88, 60.88
2024-10-01 09:39:00-04:00, SELL, META, 8, 577.42, 576.69, 4619.36, 5.82
2024-10-01 09:39:00-04:00, BUY, TSLL, 367, 13.61, 13.61, -4994.87, 0.0
2024-10-01 09:39:00-04:00, BUY, WMT, 61, 80.78, 80.78, -4927.58, 0.0
2024-10-01 09:40:00-04:00, SELL, TSLL, 367, 13.53, 13.61, 4965.77, -29.1
2024-10-01 09:40:00-04:00, SELL, WMT, 61, 80.77, 80.78, 4926.97, -0.61
2024-10-01 09:40:00-04:00, BUY, LMT, 8, 593.29, 593.29, -4746.36, 0.0
2024-10-01 09:40:00-04:00, BUY, VST, 42, 117.12, 117.12, -4918.83, 0.0
2024-10-01 09:41:00-04:00, SELL, LMT, 8, 592.04, 593.29, 4736.32, -10.04
2024-10-01 09:41:00-04:00, BUY, BMY, 96, 51.85, 51.85, -4977.6, 0.0
2024-10-01 09:41:00-04:00, BUY, AA, 128, 39.04, 39.04, -4997.12, 0.0
