시간, 매매, 종목, 수량, 현재가, 평균가, 현금변화, 이익
2024-11-01 09:54:00, BUY, SNAP, 400, 12.43, 12.43, -4972.0, 0.0
2024-11-01 09:55:00, BUY, BKNG, 1, 4695.04, 4695.04, -4695.04, 0.0
2024-11-01 09:55:00, BUY, GEV, 16, 304.32, 304.39, -4869.12, 0.0
2024-11-01 09:56:00, SELL, BKNG, 1, 4695.04, 4695.04, 4695.04, 0.0
2024-11-01 09:56:00, SELL, GEV, 48, 304.55, 304.36, 14618.4, 8.92
2024-11-01 09:56:00, BUY, SNAP, 398, 12.48, 12.43, -4969.03, 0.0
2024-11-01 09:56:00, BUY, CRH, 51, 95.79, 95.79, -4885.29, 0.0
2024-11-01 09:57:00, SELL, CRH, 51, 95.74, 95.79, 4882.74, -2.55
2024-11-01 09:57:00, SELL, SNAP, 798, 12.53, 12.46, 9998.94, 57.91
2024-11-01 09:57:00, BUY, BKNG, 1, 4700.0, 4700.0, -4700.0, 0.0
2024-11-01 09:57:00, BUY, GEV, 16, 304.56, 304.56, -4872.96, 0.0
2024-11-01 09:58:00, SELL, BKNG, 1, 4695.6, 4700.0, 4695.6, -4.4
2024-11-01 09:58:00, SELL, GEV, 16, 305.09, 304.56, 4881.44, 8.48
2024-11-01 09:58:00, BUY, SNAP, 397, 12.51, 12.51, -4966.47, 0.0
2024-11-01 09:58:00, BUY, CRH, 51, 95.76, 95.76, -4883.76, 0.0
2024-11-01 09:59:00, SELL, CRH, 51, 95.8, 95.76, 4885.8, 2.04
2024-11-01 09:59:00, BUY, BKNG, 1, 4695.6, 4695.6, -4695.6, 0.0
2024-11-01 09:59:00, BUY, GEV, 16, 305.18, 305.18, -4882.88, 0.0
2024-11-01 10:00:00, BUY, X, 126, 39.38, 39.38, -4961.88, 0.0
