시간, 총평가가치, 현금, 평가금액, 보유종목, 수량, 평균가, 현재가, 추적손절가, 손절가, 손절지표
2024-11-01 09:30:00, 100000.0, 90115.62, 9884.38, TEAM, 22, 223.06, 223.06, 220.83, 213.61, bb2_lower
2024-11-01 09:30:00, 100000.0, 90115.62, 9884.38, CMCSA, 113, 44.05, 44.05, 43.6, 43.14, SMA_20
2024-11-01 09:31:00, 99972.97, 85440.68, 14532.29, TEAM, 22, 223.06, 220.88, 220.83, 211.55, bb2_lower
2024-11-01 09:31:00, 99972.97, 85440.68, 14532.29, AMZN, 25, 199.83, 199.83, 197.83, 195.55, bb2_lower
2024-11-01 09:31:00, 99972.97, 85440.68, 14532.29, BKNG, 1, 4677.18, 4677.18, 4630.4, 4580.92, SMA_20
2024-11-01 09:32:00, 99998.5, 80383.53, 19614.97, TEAM, 22, 223.06, 220.85, 220.83, 211.49, bb2_lower
2024-11-01 09:32:00, 99998.5, 80383.53, 19614.97, AMZN, 49, 199.9, 199.98, 197.98, 197.42, bb2_lower
2024-11-01 09:32:00, 99998.5, 80383.53, 19614.97, CMCSA, 112, 44.26, 44.26, 43.82, 43.3, SMA_5
2024-11-01 09:33:00, 99961.29, 75524.48, 24436.81, AMZN, 74, 199.9, 199.88, 197.98, 197.49, bb2_lower
2024-11-01 09:33:00, 99961.29, 75524.48, 24436.81, CMCSA, 112, 44.26, 44.16, 43.82, 43.71, SMA_5
2024-11-01 09:33:00, 99961.29, 75524.48, 24436.81, BKNG, 1, 4699.56, 4699.56, 4652.56, 4582.03, SMA_20
2024-11-01 09:34:00, 99959.62, 70267.14, 29692.48, AMZN, 74, 199.9, 199.54, 197.98, 197.66, bb2_lower
2024-11-01 09:34:00, 99959.62, 70267.14, 29692.48, CMCSA, 224, 44.37, 44.48, 44.04, 43.78, SMA_5
2024-11-01 09:34:00, 99959.62, 70267.14, 29692.48, SMAR, 88, 56.38, 56.38, 55.82, 55.26, SMA_240
2024-11-01 09:35:00, 99831.81, 74997.73, 24834.08, CMCSA, 336, 44.4, 44.47, 44.04, 43.78, SMA_5
2024-11-01 09:35:00, 99831.81, 74997.73, 24834.08, SMAR, 88, 56.38, 56.36, 55.82, 55.82, SMA_240
2024-11-01 09:35:00, 99831.81, 74997.73, 24834.08, ETR, 64, 77.07, 77.07, 76.3, 75.2, bb2_lower
2024-11-01 09:36:00, 99800.57, 65106.61, 34693.96, CMCSA, 336, 44.4, 44.41, 44.04, 43.76, SMA_5
2024-11-01 09:36:00, 99800.57, 65106.61, 34693.96, SMAR, 88, 56.38, 56.37, 55.82, 55.82, SMA_240
2024-11-01 09:36:00, 99800.57, 65106.61, 34693.96, ETR, 128, 76.98, 76.89, 76.3, 75.84, bb2_lower
2024-11-01 09:36:00, 99800.57, 65106.61, 34693.96, CRH, 52, 95.58, 95.58, 94.62, 93.6, SMA_60
2024-11-01 09:37:00, 99858.71, 55151.86, 44706.85, CMCSA, 336, 44.4, 44.66, 44.21, 43.81, SMA_5
2024-11-01 09:37:00, 99858.71, 55151.86, 44706.85, SMAR, 88, 56.38, 56.37, 55.82, 55.82, SMA_240
2024-11-01 09:37:00, 99858.71, 55151.86, 44706.85, ETR, 193, 76.88, 76.69, 76.3, 75.63, bb2_lower
2024-11-01 09:37:00, 99858.71, 55151.86, 44706.85, CRH, 104, 95.58, 95.58, 94.62, 94.55, SMA_60
2024-11-01 09:38:00, 99821.18, 45479.1, 54342.08, CMCSA, 336, 44.4, 44.56, 44.21, 43.79, SMA_5
2024-11-01 09:38:00, 99821.18, 45479.1, 54342.08, SMAR, 88, 56.38, 56.37, 55.82, 55.82, SMA_240
2024-11-01 09:38:00, 99821.18, 45479.1, 54342.08, ETR, 193, 76.88, 76.64, 76.3, 75.57, bb2_lower
2024-11-01 09:38:00, 99821.18, 45479.1, 54342.08, CRH, 156, 95.6, 95.63, 94.67, 94.55, SMA_60
2024-11-01 09:38:00, 99821.18, 45479.1, 54342.08, BKNG, 1, 4700.0, 4700.0, 4653.0, 4582.05, SMA_20
2024-11-01 09:39:00, 99816.85, 55286.27, 44530.58, CMCSA, 336, 44.4, 44.49, 44.21, 43.78, SMA_5
2024-11-01 09:39:00, 99816.85, 55286.27, 44530.58, SMAR, 88, 56.38, 56.38, 55.82, 55.82, SMA_240
2024-11-01 09:39:00, 99816.85, 55286.27, 44530.58, ETR, 193, 76.88, 76.65, 76.3, 75.58, bb2_lower
2024-11-01 09:39:00, 99816.85, 55286.27, 44530.58, WMB, 94, 52.76, 52.76, 52.23, 51.64, SMA_120
2024-11-01 09:39:00, 99816.85, 55286.27, 44530.58, TRGP, 29, 167.88, 167.88, 166.2, 164.32, SMA_60
2024-11-01 09:40:00, 99779.49, 45351.95, 54427.54, CMCSA, 336, 44.4, 44.42, 44.21, 43.77, SMA_5
2024-11-01 09:40:00, 99779.49, 45351.95, 54427.54, SMAR, 88, 56.38, 56.37, 55.82, 55.82, SMA_240
2024-11-01 09:40:00, 99779.49, 45351.95, 54427.54, ETR, 193, 76.88, 76.58, 76.3, 75.49, bb2_lower
2024-11-01 09:40:00, 99779.49, 45351.95, 54427.54, WMB, 188, 52.74, 52.73, 52.23, 52.16, SMA_120
2024-11-01 09:40:00, 99779.49, 45351.95, 54427.54, TRGP, 29, 167.88, 167.98, 166.3, 165.98, SMA_60
2024-11-01 09:40:00, 99779.49, 45351.95, 54427.54, CRH, 52, 95.72, 95.72, 94.77, 93.61, SMA_60
2024-11-01 09:41:00, 99740.97, 40375.55, 59365.42, CMCSA, 336, 44.4, 44.4, 44.21, 43.76, SMA_5
2024-11-01 09:41:00, 99740.97, 40375.55, 59365.42, SMAR, 88, 56.38, 56.37, 55.82, 55.82, SMA_240
2024-11-01 09:41:00, 99740.97, 40375.55, 59365.42, ETR, 193, 76.88, 76.58, 76.3, 75.49, bb2_lower
2024-11-01 09:41:00, 99740.97, 40375.55, 59365.42, WMB, 188, 52.74, 52.66, 52.23, 52.16, SMA_120
2024-11-01 09:41:00, 99740.97, 40375.55, 59365.42, TRGP, 29, 167.88, 167.44, 166.3, 165.97, SMA_60
2024-11-01 09:41:00, 99740.97, 40375.55, 59365.42, CRH, 104, 95.71, 95.7, 94.77, 94.55, SMA_60
2024-11-01 09:42:00, 99690.85, 30589.11, 69101.74, CMCSA, 336, 44.4, 44.27, 44.21, 43.74, SMA_5
2024-11-01 09:42:00, 99690.85, 30589.11, 69101.74, SMAR, 88, 56.38, 56.37, 55.82, 55.82, SMA_240
2024-11-01 09:42:00, 99690.85, 30589.11, 69101.74, ETR, 193, 76.88, 76.46, 76.3, 75.32, bb2_lower
2024-11-01 09:42:00, 99690.85, 30589.11, 69101.74, WMB, 188, 52.74, 52.69, 52.23, 52.16, SMA_120
2024-11-01 09:42:00, 99690.85, 30589.11, 69101.74, TRGP, 29, 167.88, 167.8, 166.3, 165.98, SMA_60
2024-11-01 09:42:00, 99690.85, 30589.11, 69101.74, CRH, 104, 95.71, 95.69, 94.77, 94.55, SMA_60
2024-11-01 09:42:00, 99690.85, 30589.11, 69101.74, TEAM, 22, 223.2, 223.2, 220.97, 213.88, bb2_lower
2024-11-01 09:42:00, 99690.85, 30589.11, 69101.74, GEV, 16, 304.75, 304.75, 301.71, 297.95, SMA_20
2024-11-01 09:43:00, 99643.18, 20809.37, 78833.81, CMCSA, 336, 44.4, 44.23, 44.21, 43.73, SMA_5
2024-11-01 09:43:00, 99643.18, 20809.37, 78833.81, SMAR, 88, 56.38, 56.36, 55.82, 55.82, SMA_240
2024-11-01 09:43:00, 99643.18, 20809.37, 78833.81, ETR, 193, 76.88, 76.46, 76.3, 75.32, bb2_lower
2024-11-01 09:43:00, 99643.18, 20809.37, 78833.81, WMB, 188, 52.74, 52.63, 52.23, 52.16, SMA_120
2024-11-01 09:43:00, 99643.18, 20809.37, 78833.81, TRGP, 29, 167.88, 167.69, 166.3, 165.98, SMA_60
2024-11-01 09:43:00, 99643.18, 20809.37, 78833.81, CRH, 104, 95.71, 95.57, 94.77, 94.55, SMA_60
2024-11-01 09:43:00, 99643.18, 20809.37, 78833.81, TEAM, 44, 223.32, 223.45, 221.22, 216.52, bb2_lower
2024-11-01 09:43:00, 99643.18, 20809.37, 78833.81, GEV, 32, 304.37, 303.99, 301.71, 300.93, SMA_20
2024-11-01 09:44:00, 99613.14, 11245.14, 88368.0, CMCSA, 336, 44.4, 44.23, 44.21, 43.73, SMA_5
2024-11-01 09:44:00, 99613.14, 11245.14, 88368.0, SMAR, 88, 56.38, 56.35, 55.82, 55.82, SMA_240
2024-11-01 09:44:00, 99613.14, 11245.14, 88368.0, ETR, 193, 76.88, 76.47, 76.3, 75.33, bb2_lower
2024-11-01 09:44:00, 99613.14, 11245.14, 88368.0, WMB, 188, 52.74, 52.61, 52.23, 52.16, SMA_120
2024-11-01 09:44:00, 99613.14, 11245.14, 88368.0, TRGP, 29, 167.88, 167.6, 166.3, 165.98, SMA_60
2024-11-01 09:44:00, 99613.14, 11245.14, 88368.0, CRH, 104, 95.71, 95.57, 94.77, 94.55, SMA_60
2024-11-01 09:44:00, 99613.14, 11245.14, 88368.0, TEAM, 44, 223.32, 222.64, 221.22, 214.96, bb2_lower
2024-11-01 09:44:00, 99613.14, 11245.14, 88368.0, GEV, 48, 304.36, 304.33, 301.71, 300.94, SMA_20
2024-11-01 09:44:00, 99613.14, 11245.14, 88368.0, BKNG, 1, 4695.0, 4695.0, 4648.05, 4581.81, SMA_20
2024-11-01 09:45:00, 99454.25, 35261.08, 64193.17, CMCSA, 336, 44.4, 44.22, 44.21, 43.73, SMA_5
2024-11-01 09:45:00, 99454.25, 35261.08, 64193.17, SMAR, 88, 56.38, 56.31, 55.82, 55.82, SMA_240
2024-11-01 09:45:00, 99454.25, 35261.08, 64193.17, ETR, 193, 76.88, 76.33, 76.3, 75.12, bb2_lower
2024-11-01 09:45:00, 99454.25, 35261.08, 64193.17, WMB, 188, 52.74, 52.57, 52.23, 52.16, SMA_120
2024-11-01 09:45:00, 99454.25, 35261.08, 64193.17, TRGP, 29, 167.88, 167.24, 166.3, 165.97, SMA_60
2024-11-01 09:45:00, 99454.25, 35261.08, 64193.17, CRH, 156, 95.68, 95.61, 94.77, 94.55, SMA_60
2024-11-01 09:46:00, 99474.69, 60165.22, 39309.47, SMAR, 88, 56.38, 56.3, 55.82, 55.82, SMA_240
