ORA
MMS
AAL
NIO
KAR
XLV
GDX
TNA
MTH
ZS
TRUP
SNAP
AMGN
VGK
PTEN
TPH
NVDA
BMY
RTX
GOOG
BMBL
EXPO
UPRO
CAKE
ARVN
TJX
ONB
EWZ
VOO
SWX
NVCR
POR
EEM
SOXL
CVX
SQ
INTU
VTI
LNTH
BX
KOS
BBIO
TQQQ
ACN
TMUS
AA
GT
GS
ADI
ICUI
JNJ
HRI
XLU
DIS
KO
RDN
SHOP
BND
SOFI
UAL
COOP
T
EMB
OMI
IWM
FL
MARA
USO
IRT
EYE
SPXL
AGG
TXNM
MDB
LGIH
UPWK
IEMG
DDOG
CENX
SKY
AMZN
PD
WGO
XLB
VRNS
IEF
AOSL
SITM
EAT
COP
UVXY
MDLZ
HQY
UBER
HCC
TMO
BFH
NTLA
BKNG
SQQQ
PM
CDNA
TENB
TZA
COMM
GTLS
NXPI
CSX
ARWR
WK
KRE
EXC
VTLE
HUT
TMHC
SSRM
GME
ACAD
SONO
ADNT
NEE
PDD
MMM
SLAB
BP
BL
SBUX
TSM
SITC
CHX
GILD
MGY
RBLX
ARKK
GOGL
LIN
TCBI
STNE
VIR
ASB
FBP
NOW
HP
WERN
IWF
ESNT
CNMD
QLYS
LMT
IIPR
VCIT
REGN
OMCL
LC
ARCH
VLY
ABG
SFM
FLR
BAC
DE
IWD
ADBE
VWO
VICR
IGV
UPST
JNK
HON
XBI
ARRY
PYPL
IGT
JOBY
VC
BIDU
BEAM
VXX
KLAC
GM
SMH
ECPG
FSLY
AAPL
HYG
URBN
ROG
REAL
XLF
BKH
XLK
VTV
ADP
KBH
JD
CUBI
UMBF
BOOT
CDE
FXI
ORCL
CALX
LLY
ENPH
MSFT
MO
DIOD
CABO
FUN
SLB
MGNI
MQ
EXPE
CLF
CIM
ATKR
TNET
ACLS
RVLV
ABBV
CADE
INMD
ZM
DKNG
VIAV
CNK
MELI
DHR
CRWD
DBRG
ABNB
DVN
BABA
LQD
SPT
MATX
BOX
XLE
RIOT
TSLA
IOVA
IBM
VSCO
AMT
CWH
UUUU
RKLB
META
VMEO
HGV
XRX
QLD
QQQ
ACWI
PZZA
AMBA
OXY
PTON
MOS
SM
UDOW
HL
MTTR
ABT
CARG
MUR
JACK
VNQ
UNH
WDAY
GE
FDX
AFRM
XMTR
RSP
VALE
MU
VZ
CHTR
MPC
ANF
HAE
UPS
NKE
KWEB
PBF
COST
AMC
NFLX
CAT
XOM
TWLO
OPEN
CBT
UCB
SHLS
CRK
TNDM
SG
DEI
BRK.A
COIN
APPN
AMPL
MDT
DOCN
SSB
PLAY
NOG
RRR
KRG
PLTR
LUMN
STAA
FOXF
ZWS
EOG
CWST
FCX
ISRG
CVS
PAGS
ELV
TIP
PFSI
ALKS
TDOC
ALGT
RHP
PEP
PECO
ETSY
FIGS
EFA
PRKS
NVAX
FLG
ASML
SLG
UPBD
XLI
KFY
CMCSA
ASAN
HASI
TTD
ZD
HELE
SMTC
SIG
NEM
SHAK
GOLD
X
BA
LCID
AMAT
PANW
RIG
AMD
HUM
CMC
GPI
SABR
MRVL
ARCB
SPY
BCC
SBRA
F
PNC
TGT
MC
JXN
MXL
TLT
UBSI
XLP
SOXX
CCL
PFE
LXP
IRTC
FRSH
BE
MA
BXMT
PGNY
GOOGL
HBI
PG
MDY
PLUG
EMBC
SE
IJR
MAC
CBRL
TXN
AVGO
CRM
BLK
RIVN
MODG
OUT
AUPH
SLV
AI
CSCO
NET
NAVI
LOW
DAL
XOP
CRC
RDFN
BCRX
IEFA
IART
CVNA
MS
SHO
PEB
MCD
IVV
WRBY
VEA
SDS
JBLU
AEO
INTC
KLIC
WTS
BLMN
HPQ
RPD
AXP
IYR
DOCU
MRNA
LULU
UEC
APLE
RUN
CNX
VYX
IAU
SNOW
MRCY
ASO
IONQ
WMT
BTU
LRCX
SYNA
HALO
DIA
SCHW
BHVN
GLD
V
LMND
GH
TWST
WFC
C
CYTK
XLY
BRK.B
HLF
PCRX
UNP
SPGI
JPM
ZTS
TGNA
PLD
PARA
HD
NARI
CMG
FIBK
ABR
BPMC
RMBS
DASH
MRK
EL
ROKU
TEAM
FTNT
BKU
POWI
QCOM
AMR
AMN
