MDT
TLT
LIN
GH
BFH
QLYS
CWAN
ZETA
SIGI
XLK
HELE
ASPN
V
ACIW
SHOP
WFC
LULU
SOFI
PGR
GE
BRZE
DHR
SOXS
IDCC
LRN
PRGS
NXT
PYPL
MC
FTAI
PLUG
CL
FSS
AEO
CVLT
ABT
ITGR
NVDL
VCIT
AHR
BOX
CRNX
PBF
PTEN
GLNG
GEV
MO
JNJ
RNA
TXN
DG
MOD
CRWD
RXRX
GILD
TMHC
LMT
CYTK
RVMD
DJT
LNTH
VSCO
NEE
BIL
XLI
VZ
CORZ
CMC
TSLA
INTA
AAOI
BRK.A
UEC
BE
SRRK
SOXX
GOOG
CSWI
MCD
BECN
MS
AMD
EEM
SLG
UNP
SBRA
KLAC
CADE
MA
PFE
TT
ORCL
IBP
IBIT
GDX
FUTU
MODG
HGV
HUT
FRSH
UBER
IEMG
VRTX
VAL
SPGI
HP
FL
CSX
WGO
EAT
HQY
ONB
SMCI
IJH
CME
IRT
PDD
BSX
FCX
CRDO
NOG
CVX
VTLE
RDFN
AAL
IEF
CIFR
BX
KRG
QQQ
CSCO
GMS
ETN
FUN
LEU
BND
RHP
AMBA
T
HAE
ANF
DELL
TQQQ
AMR
HUM
RTX
CBT
FXI
GM
EMB
HLNE
INTC
DOCN
VUG
JPM
IEFA
SHW
LQD
CRM
MSFT
RSP
DASH
STNE
BRK.B
CHTR
RKLB
XLY
SGOV
AMAT
APD
VRNS
CURB
VLO
META
HD
SMH
TJX
YINN
SITC
ARCH
AAPL
PLD
TNA
FSLR
RXO
KRYS
CVS
EWJ
PGNY
CNX
ABR
DAL
BLK
HALO
CORT
BAC
SPHR
BL
TGT
NOW
DIS
AMZN
CRGY
CI
FDX
REGN
ULTA
KWEB
FN
GPI
BHVN
CHX
UMBF
NTLA
JD
ADP
INFN
IBM
QTWO
WMT
LBRT
VITL
MUR
KBH
NE
BMI
BBIO
ITRI
SMR
NVAX
WHD
HON
COOP
LRCX
TGNA
APLD
MRK
APP
XLP
GOOGL
ADI
TNDM
ARM
UNH
FLR
MMM
OPCH
PG
EFA
FANG
PRCT
BABA
STNG
AMGN
CVNA
SIG
INTU
IYR
DHI
SMMT
TSLL
BPMC
SATS
PZZA
CMG
JBLU
RMBS
LOW
UFPI
SYK
NXPI
IOVA
PRMB
TSM
SPXC
SPSC
SMTC
CMCSA
PM
RIOT
ENSG
MHO
IWF
ALKS
EWZ
CDE
SO
TPH
DYN
MPWR
GERN
MRVL
SHAK
TDW
SOXL
MLI
ADNT
MCHP
XLE
TENB
ACHR
EXLS
GKOS
OPEN
CNK
UPST
BOOT
PLTR
SPLG
PTON
PANW
CDNS
ARRY
SNOW
EPRT
FLNC
ALTR
COIN
UPS
WULF
ELV
TGTX
NUVL
HE
BTU
ABG
KRE
ENVX
LLY
XBI
DIA
LTH
CEIX
KOS
STRL
SOUN
ALTM
EW
AVAV
CALM
AXSM
IVV
SPOT
RUN
SHV
CEG
SUM
MU
UAL
ICUI
JXN
EVH
GS
AI
PCVX
SPXL
SLB
SQQQ
DE
ATKR
AMT
AGG
TMDX
SCHW
CRS
DY
HIMS
SSB
NEM
ADBE
SPY
WDAY
SDRL
NVO
AMN
TDOC
ACLX
AXP
FI
MCK
HRI
XLV
ACN
HL
RDNT
CWST
AVGO
BCC
ISRG
LUMN
MMS
EL
NARI
AUR
GVA
TMF
XOP
CB
RDDT
XLU
SG
ABNB
ON
MELI
VWO
ASTS
ADMA
CTRE
NSIT
SBUX
SNPS
PI
MDLZ
SFM
JOBY
HYG
RIG
COST
PRKS
TEX
AX
CAT
TMUS
PLAY
NVDA
ASO
DBRG
ABBV
MSTR
HCC
CRC
OSCR
YOU
KO
URBN
VRT
MARA
HCA
MDGL
CAKE
GLD
BA
ICE
SLNO
BIDU
IRTC
VST
F
INSM
AIT
VEA
BMY
STEP
SKY
CCL
NU
C
QCOM
XLF
POWL
MTH
ACLS
ASML
MPC
HBI
VLY
NKE
GOLD
APH
TRNO
FLG
ZWS
IWM
NFLX
AMC
AFRM
OXY
COP
IONQ
MMSI
ANET
CLDX
SM
GTLS
POR
VOO
PAGS
PEP
BKNG
MGY
RDN
MATX
VTI
TMO
XOM
SLV
GT
FLUT
